The Path is:
 -> (0, 0, 0, 100.0, 0.0)
 -> (0, 1, 100, 89.5, 500.0)
 -> (0, 2, 100, 81.5, 900.0)
 -> (1, 3, 100, 70.19, 1465.69)
 -> (2, 4, 100, 58.87, 2031.38)
 -> (3, 5, 100, 47.56, 2597.07)
 -> (4, 6, 100, 36.25, 3162.76)
 -> (5, 7, 100, 24.93, 3728.45)
 -> (5, 8, 0, 100.0, 4228.45)
 -> (6, 9, 100, 86.19, 4894.14)
 -> (7, 10, 100, 74.87, 5459.83)
 -> (8, 11, 100, 63.56, 6025.52)
 -> (9, 11, 100, 55.56, 6425.52)
 -> (10, 11, 100, 47.56, 6825.52)
 -> (11, 11, 0, 100.0, 7325.52)

Total cost of the Path is: 7325.52
